SourceIdentifier,SourceFileName,GLAccountCode,Division,SubDivision,ProfitCentre1,ProfitCentre2,PlantCode,ReturnPeriod,SupplierGSTIN,DocumentType,SupplyType,DocumentNumber,DocumentDate,OriginalDocumentNumber,OriginalDocumentDate,CRDRPreGST,LineNumber,CustomerGSTIN,UINorComposition,OriginalCustomerGSTIN,CustomerName,CustomerCode,BillToState,ShipToState,POS,PortCode,ShippingBillNumber,ShippingBillDate,FOB,ExportDuty,HSNorSAC,ProductCode,ProductDescription,CategoryOfProduct,UnitOfMeasurement,Quantity,TaxableValue,IntegratedTaxRate,IntegratedTaxAmount,CentralTaxRate,CentralTaxAmount,StateUTTaxRate,StateUTTaxAmount,CessRateAdvalorem,CessAmountAdvalorem,CessRateSpecific,CessAmountSpecific,InvoiceValue,ReverseChargeFlag,TCSFlag,eComGSTIN,ITCFlag,ReasonForCreditDebitNote,AccountingVoucherNumber,AccountingVoucherDate,Userdefinedfield1,Userdefinedfield2,Userdefinedfield3
"","","","","","","","G001","'072024","29GSPTN1786G1ZA","ADJ","TAX","ADVADJTOTAL-1","'2023-06-01","","","N","1","23ABCDE1234P2Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1180.00","N","N","","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'072024","29GSPTN1786G1ZA","ADV","TAX","ADVADJTOTAL-2","'2023-06-01","","","N","1","23ABCDE1234P2Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1180.00","N","N","","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'072024","29GSPTN1786G1ZA","ADV","TAX","ADVADJTOTAL-3","'2023-06-01","","","N","2","23ABCDE1234P2Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1180.00","N","N","","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'072024","29GSPTN1786G1ZA","ADJ","TAX","ADVADJTOTAL-4","'2023-06-01","","","N","1","23ABCDE1234P2Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1180.00","N","N","","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'072024","29GSPTN1786G1ZA","ADV","TAX","ADVADJTOTAL-5","'2023-06-01","","","N","2","23ABCDE1234P2Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1180.00","N","N","","","","EYEV368470","2022-05-26","","",""
"SourceI","SourceF","10000","D1","SD1","1002","PC2","G001","'072024","29GSPTN1786G1ZA","INV","TAX","GLRECONJULY-2","'2024-06-14","","","N","123","27GSPMH0481G1ZN","","27GSPMH0481G1ZN","ABC Company","101","27","27","29","","","","","","37071000","Prod1","Automobile","","NOS","1.000","1000.00","","","9.000","90.00","9.000","90.00","5.000","50.00","5.00","50.00","1280.00","N","N","","T1","1","GLRECONJULY-2","2024-06-14","UD1","UD2","UD3"
"SourceI","SourceF","10000","D1","SD1","1002","PC2","G001","'072024","29GSPTN1786G1ZA","INV","EXPT","GLRECONJULY-3","'2024-06-14","","","N","123","","","27GSPMH0481G1ZN","ABC Company","101","29","29","29","INABG1","1234","'2024-06-14","10.00","10.00","37071000","Prod1","Automobile","","NOS","1.000","1000.00","18.000","180.00","","","","","5.000","50.00","5.00","50.00","1280.00","N","N","","T1","1","GLRECONJULY-3","2024-06-14","UD1","UD2","UD3"
"SourceI","SourceF","10000","D1","SD1","1002","PC2","G001","'072024","29GSPTN1786G1ZA","INV","SEZWP","GLRECONJULY-4","'2024-06-14","","","N","123","29AAAPH9357H000","","27GSPMH0481G1ZN","ABC Company","101","29","29","29","INABG1","1234","'2024-06-14","","","37071000","Prod1","Automobile","","NOS","1.000","1000.00","18.000","180.00","","","","","5.000","50.00","5.00","50.00","1280.00","N","N","","T1","1","GLRECONJULY-4","2024-06-14","UD1","UD2","UD3"
"SourceI","SourceF","10000","D1","SD1","1002","PC2","G001","'072024","29GSPTN1786G1ZA","INV","TAX","GLRECONJULY-5","'2024-06-14","","","N","1","27GSPMH0481G1ZN","","27GSPMH0481G1ZN","ABC Company","101","27","27","29","","","","","","37071000","Prod1","Automobile","","NOS","1.000","1000.00","","","9.000","90.00","9.000","90.00","5.000","50.00","5.00","50.00","3840.00","N","N","","T1","1","GLRECONJULY-5","2024-06-14","UD1","UD2","UD3"
"SourceI","SourceF","10000","D1","SD1","1002","PC2","G001","'072024","29GSPTN1786G1ZA","INV","TAX","GLRECONJULY-5","'2024-06-14","","","N","2","27GSPMH0481G1ZN","","27GSPMH0481G1ZN","ABC Company","101","27","27","29","","","","","","37071000","Prod1","Automobile","","NOS","1.000","2000.00","","","9.000","180.00","9.000","180.00","5.000","100.00","5.00","100.00","3840.00","N","N","","T1","1","GLRECONJULY-5","2024-06-14","UD1","UD2","UD3"
"SourceI","SourceF","10000","D1","SD1","1002","PC2","G001","'072024","29GSPTN1786G1ZA","CR","TAX","GLRECONJULY-6","'2024-06-14","GLRECONJULY-6","2024-06-14","N","123","27GSPMH0481G1ZN","","27GSPMH0481G1ZN","ABC Company","101","27","27","29","","","","","","37071000","Prod1","Automobile","","NOS","1.000","1000.00","","","9.000","90.00","9.000","90.00","5.000","50.00","5.00","50.00","1280.00","N","N","","T1","1","GLRECONJULY-6","2024-06-14","UD1","UD2","UD3"
"SourceI","SourceF","10000","D1","SD1","1002","PC2","G001","'072024","29GSPTN1786G1ZA","DR","TAX","GLRECONJULY-7","'2024-06-14","","","N","123","27GSPMH0481G1ZN","","27GSPMH0481G1ZN","ABC Company","101","27","27","29","","","","","","37071000","Prod1","Automobile","","NOS","1.000","1000.00","","","9.000","90.00","9.000","90.00","5.000","50.00","5.00","50.00","1280.00","N","N","","T1","1","GLRECONJULY-7","2024-06-14","UD1","UD2","UD3"
